time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2024-08-11;2024-08-11;Iskander-M;;Mykolaiv oblast;1.0;0;
2024-08-05;2024-08-05;X-59;;Mykolaiv oblast;1.0;0;1.0
2024-08-05;2024-08-05;Iskander-M;Crimea;Mykolaiv oblast;2.0;0;
2024-08-01;2024-08-01;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
2024-07-31;2024-07-31;X-59;Kherson oblast;Mykolaiv oblast;1.0;1;
2024-07-23;2024-07-23;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
2024-07-20;2024-07-20;Iskander-M;Crimea;Mykolaiv oblast;1.0;1;
2024-07-19;2024-07-19;X-59;;Mykolaiv oblast;2.0;0;
2024-07-10;2024-07-10;X-59;;Mykolaiv oblast;1.0;0;
2024-07-09;2024-07-09;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
2024-06-27;2024-06-27;ZALA;;Mykolaiv oblast;2.0;2;
2024-06-27;2024-06-27;Iskander-M;Crimea;Mykolaiv oblast;2.0;0;
2024-06-26;2024-06-26;X-59;;Mykolaiv oblast;1.0;0;
2024-06-23;2024-06-23;ZALA;;Mykolaiv oblast;1.0;1;
2024-06-22;2024-06-22;ZALA;;Mykolaiv oblast;1.0;1;
2024-06-19;2024-06-19;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-06-18;2024-06-18;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-06-17;2024-06-17;Iskander-M;Crimea;Mykolaiv oblast;1.0;0;
2024-06-14;2024-06-14;Iskander-M;;Mykolaiv oblast;1.0;0;
2024-06-13;2024-06-13;X-59;;Mykolaiv oblast;1.0;0;
2024-06-09;2024-06-09;ZALA;;Mykolaiv oblast;1.0;1;
2024-06-05;2024-06-05;ZALA;;Mykolaiv oblast;1.0;1;
2024-06-03;2024-06-03;ZALA;;Mykolaiv oblast;1.0;1;
2024-06-01;2024-06-01;Lancet;;Mykolaiv oblast;1.0;1;
2024-06-01;2024-06-01;C-400;;Mykolaiv oblast;1.0;0;
2024-05-30;2024-05-30;Lancet;;Mykolaiv oblast;1.0;1;
2024-05-17;2024-05-17;Supercam;;Mykolaiv oblast;1.0;1;
2024-05-17;2024-05-17;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-05-13;2024-05-13;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-05-11;2024-05-11;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-05-06;2024-05-06;Lancet;;Mykolaiv oblast;3.0;3;
2024-05-03;2024-05-03;ZALA;;Mykolaiv oblast;1.0;1;
2024-05-02;2024-05-02;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-04-28;2024-04-28;Unknown UAV;Kherson oblast;Mykolaiv oblast;5.0;1;
2024-04-20;2024-04-20;Orlan-10;;Mykolaiv oblast;1.0;1;
2024-04-13;2024-04-13;X-59;;Mykolaiv oblast;1.0;1;
2024-03-31;2024-03-31;Supercam;;Mykolaiv oblast;1.0;1;
2024-03-24;2024-03-24;Supercam;;Mykolaiv oblast;1.0;1;
2024-03-24;2024-03-24;Reconnaissance UAV;;Mykolaiv oblast;1.0;1;
2024-02-28;2024-02-28;Supercam;;Mykolaiv oblast;1.0;1;
2024-02-13;2024-02-13;Lancet;;Mykolaiv oblast;1.0;1;
2024-01-30;2024-01-30;Merlin-VR;;Mykolaiv oblast;1.0;1;
2024-01-25;2024-01-25;X-59;;Mykolaiv oblast;1.0;1;
2024-01-22;2024-01-22;X-59;;Mykolaiv oblast;1.0;1;
2024-01-17;2024-01-17;Lancet;;Mykolaiv oblast;1.0;1;
2024-01-15;2024-01-15;Merlin-VR;;Mykolaiv oblast;1.0;1;
2024-01-06;2024-01-06;Shahed-136/131;;Mykolaiv oblast;1.0;1;
2023-12-05;2023-12-05;Merlin-VR;;Mykolaiv oblast;1.0;1;
2023-11-29;2023-11-29;X-59;Kherson oblast;Mykolaiv oblast;3.0;2;
2023-11-12;2023-11-12;X-59;;Mykolaiv oblast;2.0;1;
2023-11-12;2023-11-12;Iskander-M;;Mykolaiv oblast;1.0;0;
2023-11-05;2023-11-05;X-59;Kherson oblast;Mykolaiv oblast;1.0;1;
2023-10-31;2023-10-31;Shahed-136/131;;Mykolaiv oblast;1.0;1;
2023-10-27;2023-10-27;X-59;;Mykolaiv oblast;3.0;3;
2023-10-17;2023-10-17;X-59;Kherson oblast;Mykolaiv oblast;1.0;1;
2023-10-11;2023-10-11;Supercam;;Mykolaiv oblast;1.0;1;
2023-09-23;2023-09-23;Orlan-10;;Mykolaiv oblast;2.0;2;
2023-07-05;2023-07-05;ZALA;;Mykolaiv oblast;1.0;1;
2023-07-05;2023-07-05;Orlan-10;;Mykolaiv oblast;1.0;1;
2023-07-05;2023-07-05;Merlin-VR;;Mykolaiv oblast;2.0;2;
2023-07-05;2023-07-05;Lancet;;Mykolaiv oblast;4.0;4;
2023-06-16;2023-06-16;Shahed-136/131;;Mykolaiv oblast;2.0;2;
2023-05-31;2023-05-31;Orlan-10;;Mykolaiv oblast;1.0;1;
2023-05-31;2023-05-31;Merlin-VR;;Mykolaiv oblast;2.0;2;
2023-05-31;2023-05-31;Lancet;;Mykolaiv oblast;2.0;2;
2023-05-16;2023-05-16;Unknown UAV;;Mykolaiv oblast;1.0;1;
2023-05-16;2023-05-16;Orlan-10;;Mykolaiv oblast;1.0;1;
2023-04-23;2023-04-23;Merlin-VR;;Mykolaiv oblast;1.0;1;
2023-04-08;2023-04-08;Supercam;;Mykolaiv oblast;1.0;1;
2022-12-22;2022-12-22;X-59MK2;Black Sea;Mykolaiv oblast;1.0;1;
2022-12-20;2022-12-20;Unknown UAV;;Mykolaiv oblast;1.0;1;
2022-10-22;2022-10-22;Shahed-136/131;;Mykolaiv oblast;10.0;10;
2022-10-20;2022-10-20;Shahed-136/131;;Mykolaiv oblast;14.0;14;
2022-10-19;2022-10-19;Shahed-136/131;;Mykolaiv oblast;13.0;13;
2022-10-06;2022-10-06;Shahed-136/131;;Mykolaiv oblast;2.0;2;
2022-10-06;2022-10-06;Mohajer-6;;Mykolaiv oblast;1.0;1;
2022-10-02;2022-10-02;Shahed-136/131;;Mykolaiv oblast;7.0;5;
2022-10-05;2022-10-05;Orlan-10;;Ochakiv;1.0;1;
2024-11-14;2024-11-15;Shahed-136/131;Primorsko-Akhtarsk;Odesa oblast;29.0;25;
2024-11-14;2024-11-14;X-59/X-69;Black Sea;Odesa oblast;2.0;1;
2024-11-08;2024-11-09;Shahed-136/131;Primorsko-Akhtarsk and Oryol oblast;Odesa oblast;51.0;32;18.0
2024-11-05;2024-11-06;X-59;Black Sea;Odesa oblast;2.0;0;
2024-11-05;2024-11-06;X-31P;Black Sea;Odesa oblast;1.0;0;
2024-11-04;2024-11-05;X-59/X-69;Black Sea;Odesa oblast;2.0;2;
2024-10-31;2024-11-01;X-59/X-69;Black Sea;Odesa oblast;3.0;1;2.0
2024-10-30;2024-10-30;X-59/X-69;Black Sea;Odesa oblast;8.0;2;
2024-10-30;2024-10-30;Iskander-M/KN-23;Crimea;Odesa oblast;2.0;0;
2024-10-28;2024-10-29;X-31P;Black Sea;Odesa oblast;2.0;0;2.0
2024-10-26;2024-10-26;Iskander-M;Crimea;Odesa oblast;1.0;1;
2024-10-22;2024-10-23;X-31P;Black Sea;Odesa oblast;1.0;0;
2024-10-20;2024-10-21;X-35;Black Sea;Odesa oblast;1.0;0;
2024-10-20;2024-10-21;X-31P;Black Sea;Odesa oblast;1.0;0;
2024-10-18;2024-10-19;X-59/X-69;Black Sea;Odesa oblast;6.0;4;
2024-10-15;2024-10-15;Iskander-M;Crimea;Odesa oblast;2.0;0;
2024-10-14;2024-10-14;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-10-13;2024-10-13;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-10-09;2024-10-10;X-31P;Crimea;Odesa oblast;1.0;0;
2024-10-09;2024-10-10;Iskander-M;Crimea;Odesa oblast;2.0;0;
2024-10-07;2024-10-08;Iskander-M;Crimea;Odesa oblast;2.0;0;
2024-10-05;2024-10-06;Iskander-M;Crimea;Odesa oblast;2.0;0;
2024-10-03;2024-10-03;X-31P;Crimea;Odesa oblast;1.0;0;
2024-10-01;2024-10-01;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-09-27;2024-09-28;Iskander-M;Crimea;Odesa oblast;2.0;0;
2024-09-26;2024-09-26;X-59/X-69;Black Sea;Odesa oblast;4.0;4;
2024-09-25;2024-09-25;X-59/X-69;Black Sea;Odesa oblast;4.0;4;
2024-09-20;2024-09-20;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-09-15;2024-09-15;Iskander-M;Crimea;Odesa oblast;2.0;0;
2024-09-12;2024-09-12;Iskander-M;Crimea;Odesa oblast;1.0;1;
2024-08-30;2024-08-30;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-08-29;2024-08-29;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-08-22;2024-08-22;X-31P;Black Sea;Odesa oblast;2.0;0;
2024-08-14;2024-08-14;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-08-11;2024-08-11;Iskander-M;;Odesa oblast;1.0;0;
2024-08-03;2024-08-03;X-31P;Black Sea;Odesa oblast;2.0;0;
2024-08-02;2024-08-02;Iskander-M;Crimea;Odesa oblast;3.0;0;
2024-07-28;2024-07-28;Shahed-136/131;Chauda, Crimea;Odesa oblast;8.0;7;
2024-07-24;2024-07-24;Shahed-136/131;Primorsko-Akhtarsk and Crimea;Odesa oblast;23.0;17;
2024-07-22;2024-07-22;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-19;2024-07-19;X-31PD;;Odesa oblast;1.0;0;
2024-07-18;2024-07-18;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-16;2024-07-16;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-15;2024-07-15;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-13;2024-07-13;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-10;2024-07-10;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-10;2024-07-10;X-31P;;Odesa oblast;1.0;0;
2024-07-09;2024-07-09;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-07-06;2024-07-06;Iskander-M;;Odesa oblast;2.0;0;
2024-07-04;2024-07-04;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-06-30;2024-06-30;Iskander-M;Crimea;Odesa oblast;1.0;1;
2024-06-28;2024-06-28;Iskander-M;Crimea;Odesa oblast;2.0;2;
2024-06-28;2024-06-28;Orlan-10;;Odesa oblast;1.0;1;
2024-06-26;2024-06-26;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-06-24;2024-06-24;Iskander-K;;Odesa oblast;2.0;1;
2024-06-22;2024-06-22;X-69;;Odesa oblast;1.0;0;
2024-06-21;2024-06-21;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-06-19;2024-06-19;Iskander-M;;Odesa oblast;1.0;0;
2024-06-17;2024-06-17;X-31P;Crimea;Odesa oblast;1.0;0;
2024-06-12;2024-06-12;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-06-06;2024-06-06;ZALA;;Odesa oblast;1.0;1;
2024-06-05;2024-06-05;Iskander-M;Crimea;Odesa oblast;1.0;0;
2024-06-04;2024-06-04;Iskander-M;;Odesa oblast;1.0;0;
2024-06-03;2024-06-03;Unknown Missile;;Odesa oblast;1.0;1;
2024-06-02;2024-06-02;Iskander-M;;Odesa oblast;1.0;0;
2024-05-31;2024-05-31;Unknown Missile;;Odesa oblast;2.0;1;
2024-05-29;2024-05-29;Iskander-M;;Odesa oblast;1.0;0;
2024-05-28;2024-05-28;Iskander-M;;Odesa oblast;1.0;0;
2024-05-22;2024-05-22;Orlan-10;;Odesa oblast;1.0;1;
2024-05-20;2024-05-20;Orlan-10;;Odesa oblast;2.0;2;
2024-05-20;2024-05-20;Iskander-M;;Odesa oblast;1.0;0;
2024-05-20;2024-05-20;Orlan-10;;Odesa oblast;1.0;1;
2024-05-19;2024-05-19;Orlan-10;;Odesa oblast;1.0;1;
2024-05-18;2024-05-18;Orlan-10;;Odesa oblast;1.0;1;
2024-05-18;2024-05-18;Iskander-M;;Odesa oblast;1.0;0;
2024-05-17;2024-05-17;X-59/X-69;;Odesa oblast;3.0;3;
2024-05-17;2024-05-17;Iskander-M;;Odesa oblast;3.0;0;
2024-05-12;2024-05-12;Orlan-10;;Odesa oblast;1.0;1;
2024-05-09;2024-05-09;Shahed-136/131;Chauda, Crimea;Odesa oblast;20.0;17;
2024-05-07;2024-05-07;X-59/X-69;;Odesa oblast;2.0;2;
2024-05-01;2024-05-01;X-59/X-69;;Odesa oblast;1.0;1;
2024-05-01;2024-05-01;Shahed-136/131;;Odesa oblast;2.0;2;
2024-05-01;2024-05-01;Orlan-10;;Odesa oblast;1.0;1;
2024-04-30;2024-04-30;Orlan-10;;Odesa oblast;2.0;2;
2024-04-27;2024-04-27;ZALA;;Odesa oblast;1.0;1;
2024-04-27;2024-04-27;Orlan-10;;Odesa oblast;1.0;1;
2024-04-27;2024-04-27;Lancet;;Odesa oblast;1.0;1;
2024-04-25;2024-04-25;ZALA;;Odesa oblast;1.0;1;
2024-04-25;2024-04-25;ZALA;;Odesa oblast;1.0;1;
2024-04-22;2024-04-22;Shahed-136/131;Chauda, Crimea;Odesa oblast;7.0;5;
2024-04-22;2024-04-22;Orlan-10;;Odesa oblast;1.0;1;
2024-04-20;2024-04-20;X-59/X-69;Black Sea;Odesa oblast;2.0;2;
2024-04-20;2024-04-20;Orlan-10;;Odesa oblast;1.0;1;
2024-04-20;2024-04-20;X-59/X-69;;Odesa oblast;3.0;3;
2024-04-19;2024-04-19;Orlan-10;;Odesa oblast;4.0;4;
2024-04-10;2024-04-10;Orlan-10;;Odesa oblast;2.0;2;
2024-04-10;2024-04-10;Merlin-VR;;Odesa oblast;2.0;2;
2024-04-09;2024-04-09;X-59;;Odesa oblast;2.0;0;
2024-03-29;2024-03-29;X-59;Black Sea;Odesa oblast;2.0;2;
2024-03-21;2024-03-21;Supercam;;Odesa oblast;1.0;1;
2024-03-21;2024-03-21;Lancet;;Odesa oblast;2.0;2;
2024-03-20;2024-03-20;Supercam;;Odesa oblast;2.0;2;
2024-03-19;2024-03-19;ZALA;;Odesa oblast;3.0;3;
2024-03-17;2024-03-17;Shahed-136/131;Chauda, Crimea;Odesa oblast;17.0;14;
2024-03-13;2024-03-13;KAB;;Odesa oblast;1.0;1;
2024-03-12;2024-03-12;X-59;;Odesa oblast;1.0;1;
2024-03-11;2024-03-11;Shahed-136/131;;Odesa oblast;10.0;10;
2024-03-05;2024-03-05;Shahed-136/131;Balaklava, Crimea;Odesa oblast;22.0;18;
2024-02-13;2024-02-13;X-59;;Odesa oblast;1.0;1;
2023-12-02;2023-12-02;Shahed-136/131;Chauda, Crimea;Odesa oblast;11.0;10;
2023-11-21;2023-11-21;Mohajer-6;;Odesa oblast;1.0;1;
2023-11-01;2023-11-01;X-59;Black Sea;Odesa oblast;2.0;2;
2023-10-17;2023-10-17;Shahed-136/131;Chauda, Crimea;Odesa oblast;6.0;6;
2023-09-25;2023-09-25;Shahed-136/131;Primorsko-Akhtarsk;Odesa oblast;19.0;19;
2023-09-25;2023-09-25;P-800 Oniks;Sevastopol, Crimea;Odesa oblast;2.0;0;
2023-09-25;2023-09-25;Kalibr;Black Sea;Odesa oblast;12.0;11;
2023-09-17;2023-09-17;X-101/X-555;Engels-2;Odesa oblast;10.0;6;
2023-09-17;2023-09-17;Shahed-136/131;Primorsko-Akhtarsk and Chauda, Crimea;Odesa oblast;6.0;6;
2023-09-03;2023-09-03;Shahed-136/131;Primorsko-Akhtarsk and Chauda, Crimea;Odesa oblast;25.0;22;
2023-08-25;2023-08-25;X-59;Black Sea;Odesa oblast;2.0;2;
2023-08-25;2023-08-25;Kalibr;Black Sea;Odesa oblast;2.0;2;
2023-08-15;2023-08-16;Shahed-136/131;Primorsko-Akhtarsk and Chauda, Crimea;Odesa oblast;13.0;13;
2023-08-14;2023-08-14;Shahed-136/131;Primorsko-Akhtarsk;Odesa oblast;15.0;15;
2023-08-14;2023-08-14;Kalibr;Black Sea, Yalta;Odesa oblast;8.0;8;
2023-07-27;2023-07-27;Kalibr;Black Sea;Odesa oblast;2.0;0;
2023-07-24;2023-07-24;Shahed-136/131;;Odesa oblast;3.0;3;
2023-07-23;2023-07-23;X-22;Black Sea;Odesa oblast;3.0;0;
2023-07-23;2023-07-23;P-800 Oniks;Crimea;Odesa oblast;5.0;0;
2023-07-23;2023-07-23;Kalibr;Black Sea;Odesa oblast;4.0;4;
2023-07-23;2023-07-23;Iskander-M;Crimea;Odesa oblast;2.0;2;
2023-07-23;2023-07-23;Iskander-K;Crimea;Odesa oblast;5.0;5;
2023-07-19;2023-07-19;X-22;Black Sea;Odesa oblast;8.0;0;
2023-07-19;2023-07-19;P-800 Oniks;Crimea;Odesa oblast;6.0;0;
2023-06-14;2023-06-14;Kalibr;Black Sea;Odesa oblast;4.0;3;
2023-05-08;2023-05-08;Unknown Missile;Cape Tarkhankut, Crimea;Odesa oblast;8.0;0;
2023-04-19;2023-04-19;Shahed-136/131;south;Odesa oblast;12.0;10;
2023-03-23;2023-03-23;X-59;Black Sea;Odesa oblast;2.0;2;
2023-03-21;2023-03-21;X-59;Black Sea;Odesa oblast;2.0;2;
2023-03-14;2023-03-14;X-31P;Black Sea;Odesa oblast;4.0;0;
2023-01-11;2023-01-11;Unknown UAV;;Odesa oblast;1.0;1;
2022-10-05;2022-10-05;Shahed-136/131;;Odesa oblast;1.0;1;
2024-10-13;2024-10-13;Iskander-M;Kursk oblast;Poltava oblast;1.0;0;
2024-10-09;2024-10-09;Iskander-M/KN-23;Kursk oblast;Poltava oblast;3.0;0;
2024-08-04;2024-08-04;X-59;Kursk oblast;Poltava oblast;2.0;0;
2024-07-03;2024-07-03;X-59/X-69;;Poltava oblast;1.0;1;
2024-06-19;2024-06-19;X-59/X-69;;Poltava oblast;1.0;1;
2024-06-07;2024-06-07;X-59/X-69;;Poltava oblast;1.0;1;
2024-03-15;2024-03-15;X-59;;Poltava oblast;1.0;0;
2024-02-21;2024-02-21;X-59;Belgorod oblast;Poltava oblast;1.0;1;
2024-01-28;2024-01-28;Iskander-M;Voronezh oblast;Poltava oblast;2.0;0;
2023-11-15;2023-11-15;X-59;;Poltava oblast;1.0;1;
2022-11-01;2022-11-01;Shahed-136/131;north-east;Poltava oblast;3.0;3;
2023-10-29;2023-10-29;X-59;Belgorod oblast;Snake Island;1.0;0;
2024-09-27;2024-09-27;X-22;;Snake Island;2.0;0;
2024-09-12;2024-09-12;X-22/X-32;Black Sea;Snake Island;2.0;0;
2024-09-11;2024-09-11;X-31P;Black Sea;Snake Island;6.0;0;
2024-09-10;2024-09-10;X-31P;Black Sea;Snake Island;1.0;0;
2024-08-24;2024-08-24;X-22;;Starokostiantyniv;4.0;0;
2024-09-27;2024-09-27;X-47 Kinzhal;;Starokostiantyniv;4.0;0;
2024-09-26;2024-09-26;X-47 Kinzhal;;Sumy;3.0;0;
2024-08-17;2024-08-17;Iskander-K;Voronezh oblast;Sumy oblast;1.0;0;
2024-11-13;2024-11-13;C-300;Kursk oblast;Sumy oblast;2.0;0;
2024-10-29;2024-10-30;Unknown Missile;Belgorod oblast;Sumy oblast;1.0;0;
2024-09-28;2024-09-28;Shahed-136/131;;Sumy oblast;3.0;1;
2024-09-26;2024-09-26;Unknown Missile;;Sumy oblast;2.0;0;
2024-09-23;2024-09-23;Shahed-136/131;;Sumy oblast;4.0;3;1.0
2024-07-23;2024-07-23;X-69;Kursk oblast;Sumy oblast;1.0;0;1.0
2024-07-23;2024-07-23;Shahed-136/131;Kursk oblast;Sumy oblast;8.0;7;
2024-07-11;2024-07-11;Iskander-M;Kursk oblast;Sumy oblast;2.0;0;
2024-05-06;2024-05-06;Shahed-136/131;Kursk oblast;Sumy oblast;13.0;12;
2024-03-18;2024-03-18;X-59;;Sumy oblast;2.0;0;
2023-11-04;2023-11-04;Shahed-136/131;Kursk oblast;Vinnytsia oblast;2.0;2;
2023-09-01;2023-09-01;Kalibr;Black Sea, Feodosia;Vinnytsia oblast;2.0;1;
2023-07-26;2023-07-26;Kalibr;Black Sea;Zaporizhzhia;3.0;3;
2023-11-28;2023-11-28;Iskander-M;;Zaporizhzhia;1.0;0;
2022-10-09;2022-10-09;X-59;Rostov oblast;Zaporizhzhia;2.0;1;
2022-10-09;2022-10-09;X-22;Ryazan oblast;Zaporizhzhia;4.0;0;
2022-10-09;2022-10-09;C-300;;Zaporizhzhia oblast;16.0;0;
2024-05-22;2024-05-22;ZALA;;Zaporizhzhia oblast;1.0;1;
2024-05-22;2024-05-22;X-59/X-69;;Zaporizhzhia oblast;1.0;1;
2024-05-05;2024-05-05;ZALA;;Zaporizhzhia oblast;1.0;1;
2024-05-05;2024-05-05;Orlan-10;;Zaporizhzhia oblast;1.0;1;
2024-05-03;2024-05-03;Reconnaissance UAV;;Zaporizhzhia oblast;1.0;1;
2024-04-20;2024-04-20;Supercam;;Zaporizhzhia oblast;1.0;1;
2024-04-20;2024-04-20;Supercam;;Zaporizhzhia oblast;1.0;1;
2024-04-12;2024-04-12;ZALA;;Zaporizhzhia oblast;1.0;1;
2024-04-11;2024-04-11;Supercam;;Zaporizhzhia oblast;1.0;1;
2024-04-11;2024-04-11;X-59;Zaporizhzhia oblast;Zaporizhzhia oblast;4.0;2;
2024-04-11;2024-04-11;ZALA;;Zaporizhzhia oblast;1.0;1;
2024-04-10;2024-04-10;ZALA;;Zaporizhzhia oblast;1.0;1;
2024-04-10;2024-04-10;X-59;;Zaporizhzhia oblast;1.0;1;
2024-04-06;2024-04-06;Kalibr;Black Sea;Zaporizhzhia oblast;1.0;1;
2024-03-27;2024-03-27;X-59;;Zaporizhzhia oblast;1.0;1;
2024-02-15;2024-02-15;X-59;Kursk oblast;Zaporizhzhia oblast;4.0;2;
2023-12-24;2023-12-24;X-59;;Zaporizhzhia oblast;1.0;1;
2023-12-11;2023-12-11;X-59;;Zaporizhzhia oblast;1.0;1;
2023-12-05;2023-12-05;Reconnaissance UAV;;Zaporizhzhia oblast;1.0;1;
2023-11-21;2023-11-22;X-22;south-east;Zaporizhzhia oblast;1.0;0;
2023-08-27;2023-08-27;Shahed-136/131;;Zaporizhzhia oblast;2.0;2;
2023-08-12;2023-08-12;Shahed-136/131;south-east;Zaporizhzhia oblast;5.0;3;
