time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2023-11-21;2023-11-21;C-400;Donetsk oblast;Donetsk oblast;4.0;0;
2023-06-14;2023-06-14;X-22;Rostov oblast;Donetsk oblast;6.0;0;
2022-11-01;2022-11-01;Reconnaissance UAV;;Donetsk oblast;1.0;1;
2024-11-11;2024-11-12;C-300;Belgorod oblast;Kharkiv;1.0;0;
2023-12-30;2023-12-30;C-300;;Kharkiv;6.0;0;
2023-09-21;2023-09-21;C-300;;Kharkiv;6.0;0;
2024-11-15;2024-11-16;C-300;;Kharkiv oblast;1.0;0;
2024-09-25;2024-09-25;Unknown Missile;;Kharkiv oblast;3.0;0;
2024-09-25;2024-09-25;C-300;;Kharkiv oblast;1.0;0;
2024-08-22;2024-08-22;Shahed-136/131;Kursk oblast;Kharkiv oblast;10.0;2;2.0
2024-08-08;2024-08-08;Iskander-M;Belgorod oblast;Kharkiv oblast;2.0;0;
2024-08-04;2024-08-04;C-300;;Kharkiv oblast;2.0;0;
2024-07-24;2024-07-24;Unknown Missile;Belgorod oblast;Kharkiv oblast;1.0;0;
2024-07-24;2024-07-24;Iskander-M;Belgorod oblast;Kharkiv oblast;1.0;0;
2024-07-07;2024-07-08;Orlan-10;;Kharkiv oblast;2.0;2;
2024-06-28;2024-06-28;Unknown UAV;;Kharkiv oblast;1.0;1;
2024-06-28;2024-06-28;Supercam;;Kharkiv oblast;1.0;1;
2024-06-28;2024-06-28;Orlan-10;;Kharkiv oblast;1.0;1;
2024-06-27;2024-06-27;Unknown UAV;;Kharkiv oblast;1.0;1;
2024-06-27;2024-06-27;Supercam;;Kharkiv oblast;1.0;1;
2024-06-27;2024-06-27;Orlan-10;;Kharkiv oblast;1.0;1;
2024-06-26;2024-06-26;Orlan-10;;Kharkiv oblast;1.0;1;
2024-06-24;2024-06-24;Unknown UAV;;Kharkiv oblast;4.0;4;
2024-06-24;2024-06-24;Supercam;;Kharkiv oblast;3.0;3;
2024-06-22;2024-06-22;ZALA;;Kharkiv oblast;3.0;3;
2024-06-22;2024-06-22;Supercam;;Kharkiv oblast;2.0;2;
2024-06-22;2024-06-22;Orlan-10;;Kharkiv oblast;2.0;2;
2024-06-17;2024-06-17;Supercam;;Kharkiv oblast;1.0;1;
2024-06-17;2024-06-17;Reconnaissance UAV;;Kharkiv oblast;1.0;1;
2024-06-17;2024-06-17;Orlan-10;;Kharkiv oblast;1.0;1;
2024-06-13;2024-06-13;ZALA;;Kharkiv oblast;1.0;0;
2024-06-06;2024-06-06;Orlan-10;;Kharkiv oblast;1.0;1;
2024-06-03;2024-06-03;Supercam;;Kharkiv oblast;1.0;1;
2024-06-02;2024-06-02;Orlan-10;;Kharkiv oblast;1.0;1;
2024-06-02;2024-06-02;Iskander-K;Crimea;Kharkiv oblast;1.0;0;
2024-05-31;2024-05-31;C-300/C-400;Belgorod oblast;Kharkiv oblast;5.0;0;
2024-05-30;2024-05-30;Reconnaissance UAV;;Kharkiv oblast;1.0;1;
2024-05-30;2024-05-30;C-300/C-400;;Kharkiv oblast;8.0;0;
2024-05-28;2024-05-28;Supercam;;Kharkiv oblast;1.0;1;
2024-05-20;2024-05-20;Iskander-M;;Kharkiv oblast;1.0;0;
2024-05-15;2024-05-15;ZALA;;Kharkiv oblast;1.0;1;
2024-05-15;2024-05-15;Supercam;;Kharkiv oblast;1.0;1;
2024-05-15;2024-05-15;Orlan-10;;Kharkiv oblast;1.0;1;
2024-05-12;2024-05-12;Unknown UAV;;Kharkiv oblast;1.0;1;
2024-05-12;2024-05-12;Orlan-10;;Kharkiv oblast;1.0;1;
2024-05-10;2024-05-10;C-300/C-400;Belgorod oblast;Kharkiv oblast;2.0;0;
2024-05-08;2024-05-08;Orlan-10;;Kharkiv oblast;1.0;1;
2024-05-03;2024-05-03;Supercam;;Kharkiv oblast;1.0;1;
2024-05-03;2024-05-03;Supercam;;Kharkiv oblast;1.0;1;
2024-04-20;2024-04-20;ZALA;;Kharkiv oblast;1.0;1;
2024-04-16;2024-04-16;Shahed-136/131;Chauda, Crimea;Kharkiv oblast;9.0;9;
2024-04-14;2024-04-14;Shahed-136/131;Kursk oblast;Kharkiv oblast;10.0;10;
2024-04-12;2024-04-12;Reconnaissance UAV;;Kharkiv oblast;2.0;2;
2024-04-11;2024-04-11;Supercam;;Kharkiv oblast;1.0;1;
2024-04-04;2024-04-04;Shahed-136/131;Kursk oblast;Kharkiv oblast;20.0;11;
2024-03-18;2024-03-18;C-300/C-400;;Kharkiv oblast;5.0;0;
2024-03-16;2024-03-16;Shahed-136/131;;Kharkiv oblast;2.0;2;
2024-03-11;2024-03-11;Shahed-136/131;;Kharkiv oblast;5.0;5;
2024-03-06;2024-03-06;Orlan-10;;Kharkiv oblast;1.0;1;
2024-02-19;2024-02-19;Shahed-136/131;Belgorod oblast;Kharkiv oblast;4.0;4;
2024-02-01;2024-02-01;Shahed-136/131;;Kharkiv oblast;4.0;2;
2024-01-23;2024-01-23;C-300/C-400;Belgorod oblast;Kharkiv oblast;4.0;0;
2024-01-18;2024-01-18;C-300;Belgorod oblast;Kharkiv oblast;2.0;0;
2024-01-17;2024-01-17;C-300;Belgorod oblast;Kharkiv oblast;2.0;0;
2024-01-01;2024-01-01;C-300;;Kharkiv oblast;4.0;0;
2023-12-29;2023-12-29;C-300/C-400 and Iskander-M;Kursk oblast and Bryansk oblast;Kharkiv oblast;14.0;0;
2023-12-20;2023-12-20;C-300;Bryansk oblast;Kharkiv oblast;2.0;0;
2023-12-08;2023-12-08;C-300;Belgorod oblast;Kharkiv oblast;6.0;0;
2023-10-27;2023-10-27;Iskander-M;Voronezh oblast;Kharkiv oblast;1.0;0;
2023-08-26;2023-08-26;Shahed-136/131;;Kharkiv oblast;2.0;2;
2023-08-16;2023-08-16;Shahed-136/131;;Kharkiv oblast;3.0;3;
2024-11-01;2024-11-01;Iskander-M;;Kherson;2.0;0;
2024-10-15;2024-10-15;Aerial Bomb;;Kherson oblast;16.0;0;
2024-09-30;2024-09-30;Iskander-M;Crimea;Kherson oblast;2.0;0;
2024-09-10;2024-09-10;Iskander-M;Crimea;Kherson oblast;1.0;0;
2024-08-05;2024-08-05;X-59;;Kherson oblast;1.0;0;1.0
2024-07-16;2024-07-16;Iskander-M;Crimea;Kherson oblast;1.0;0;
2024-07-07;2024-07-07;Iskander-M;;Kherson oblast;1.0;1;
2024-06-28;2024-06-28;ZALA;;Kherson oblast;1.0;1;
2024-06-28;2024-06-28;Supercam;;Kherson oblast;1.0;1;
2024-06-28;2024-06-28;Lancet;;Kherson oblast;2.0;2;
2024-06-27;2024-06-27;Lancet;;Kherson oblast;2.0;2;
2024-06-26;2024-06-26;ZALA;;Kherson oblast;1.0;1;
2024-06-26;2024-06-26;Supercam;;Kherson oblast;1.0;1;
2024-06-25;2024-06-25;ZALA;;Kherson oblast;4.0;4;
2024-06-25;2024-06-25;Supercam;;Kherson oblast;1.0;1;
2024-06-25;2024-06-25;Lancet;;Kherson oblast;1.0;1;
2024-06-24;2024-06-24;Unknown UAV;;Kherson oblast;1.0;1;
2024-06-24;2024-06-24;Supercam;;Kherson oblast;1.0;1;
2024-06-22;2024-06-22;Iskander-M;;Kherson oblast;1.0;0;
2024-06-20;2024-06-20;X-59;Sea of Azov;Kherson oblast;2.0;1;
2024-06-19;2024-06-19;Lancet;;Kherson oblast;1.0;1;
2024-06-18;2024-06-18;Supercam;;Kherson oblast;1.0;1;
2024-06-18;2024-06-18;Lancet;;Kherson oblast;2.0;2;
